Stock_code,Sector,Name,volatility_mean,volatility_max,volatility_5d,downside_deviation,var_95,max_drawdown,mean_return,std_return,return_skew,return_kurtosis,return_consistency,sharpe_ratio,rsi_mean,bb_width_mean,macd_volatility,avg_volume,volume_volatility,amihud_illiquidity,trading_frequency,momentum_20d,momentum_60d,trend_strength,current_price
IMH,Banking,I & M Holdings Plc,0.019790021599020362,0.15978054755730067,0.01577759185078016,0.01055692908673726,-0.023649770176618644,-0.6829999999999999,0.0002507250277854268,0.03160402684219705,7.213252586530048,228.57076255190483,126.05049649927435,0.004769171601489233,48.66159293620962,3.121183248177858,0.9231315883501178,110558.7995930824,254050.83114984332,4.721752998018053e-09,0.9949392712550608,0.2063227953410982,0.5425531914893618,0.2587169767634757,36.25
JUB,Insurance,Jubilee Holdings Ltd,0.019149651470893432,0.045319147509315386,0.01676413076162119,0.012141966253199157,-0.02867869622114059,-0.6198717948717949,-0.00031256119199493806,0.023298513140692444,0.20200946746780077,4.177525024907133,74.54062207123768,-0.017707618839573495,45.64260271938091,2.570583760872522,4.196395999049206,6280.125786163522,15814.482807948447,4.770141205719989e-09,0.8046558704453441,0.008720930232558155,0.08268330733229323,0.036388073074795343,173.5
KAPC,Agricultural,Kapchorua Tea Kenya Plc,0.024977264528222066,0.052239623263822615,0.020343329046963045,0.014517716201164457,-0.033079229895688685,-0.2334841628959276,0.0027817676049679925,0.03697765307605306,0.32104042295814056,2.648615236102396,13.292861589418203,0.07252400773515613,52.281701853260344,3.916353894269794,3.9480068312321297,1123.106796116505,2322.6406501522592,0.0,0.521255060728745,0.021739130434782705,0.02844638949671774,-0.0013457043699972872,235.0
KCB,Banking,KCB Group Plc,0.015345684669998173,0.046879864172844954,0.012548545327081275,0.008754139016183635,-0.022416560215165346,-0.6843687374749499,0.000233516460135092,0.017531064657571427,0.7227596479678204,7.574947020374622,75.07418166587203,0.007615992638292438,47.760095796146366,3.331104535483714,0.743854639289058,1078481.8825910932,1634021.4933950834,3.2474729795504513e-10,1.0,0.08051948051948066,0.19884726224783855,0.0858075040780795,41.6
KEGN,Energy and Petroleum,Kenya Electricity Generating Company Plc,0.01608804289015548,0.0734804277134677,0.013717020261958859,0.008743514714191028,-0.021964506837492428,-0.6216216216216216,-6.457475563362655e-05,0.019831402958365375,4.157215427153285,66.15983071058922,307.10719774398416,-0.008298694507356343,44.38949859492873,2.5774869627357297,0.06943516557924563,630362.6518218623,2004562.2159617431,6.715125158651601e-09,1.0,-0.08542713567839189,0.21333333333333337,0.02946028753157308,3.64
KNRE,Insurance,Kenya Re-Insurance Corporation Ltd,0.02173210048627194,0.12160551712305699,0.019564425344819118,0.013663829422476383,-0.030832766049143055,-0.6376306620209059,-0.00017280712629151723,0.02686774793068642,-5.994009520561289,118.15980537259759,155.47815046439007,-0.010153702721193323,47.80397149567902,3.1900266223181197,0.04961554888414847,765106.6801619433,2854674.6240784703,3.288023546851861e-08,1.0,0.11304347826086958,-0.007751937984496138,0.10934565938673865,1.28
KPLC,Energy and Petroleum,Kenya Power and Lighting Company Plc,0.02493210636949925,0.12010434289387906,0.02153405255375846,0.012568877958344183,-0.03256381354456121,-0.35148514851485146,0.0014685337681955885,0.030103207728145,4.851055239099628,77.62019392477896,20.49881748054834,0.045461393217904086,48.55315793386898,4.021332955809963,0.07553683972648736,870844.4331983805,1495732.6270732249,1.2179065388265386e-08,1.0,0.06651884700665178,0.3742857142857141,0.18196338616090493,4.81
KUKZ,Agricultural,Kakuzi Plc,0.02185350443870622,0.09155627323867052,0.015913077721719036,0.013720974678810463,-0.022071816862377035,-0.45609065155807366,0.0020258012492320675,0.04962470912601973,-1.4575237938927015,12.015809404629971,24.496335311866222,0.03880730545867484,47.34195160572627,3.35739917444638,7.832308649852487,2465.4135338345864,26530.451126924916,0.0,0.2692307692307692,-0.030226700251889116,-0.03749999999999998,-0.06372544052527097,385.0
LBTY,Insurance,Liberty Kenya Holdings Ltd,0.04014033357340354,0.06545017758166706,0.03823759188264592,0.023891957591431163,-0.06752193929223413,-0.6650485436893204,0.0008225093223363864,0.04420767784028325,0.13391638088909807,0.08783392896526898,53.74732086923544,0.016343525740310737,48.987408711102546,4.966819125089945,0.16516171375127092,6884.679334916865,16930.352973271078,6.178560395427603e-07,0.8522267206477733,-0.06703910614525144,0.24626865671641784,-0.041102445092476764,6.68
LIMT,Agricultural,Limuru Tea Plc,0.008080625257876884,0.04294596507017023,0.005063405616058945,0.004692507670375333,-0.005001063396311626,-0.3137254901960784,0.0017270824711661747,0.04367280003345144,0.5243297253025438,0.8042766978831994,25.28703651034029,0.03725619759196299,14.138383487205692,1.5091715964103307,6.767772206894857,2946.875,8363.139087372447,0.0,0.09716599190283401,-0.04109589041095896,-0.04109589041095896,-0.02912621359222493,350.0
